date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:57:15	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:25%20GMT	http://app.pillar.io/css/chunk-104856cd.9e7e7785.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-104856cd.9e7e7785.css	(from https://app.pillar.io/store/kingarthvr_)
13:57:15	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:25%20GMT	http://app.pillar.io/css/chunk-11e1e150.f2fb7669.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-11e1e150.f2fb7669.css	(from https://app.pillar.io/store/kingarthvr_)
13:57:15	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:25%20GMT	http://app.pillar.io/css/chunk-196df552.17701cb3.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-196df552.17701cb3.css	(from https://app.pillar.io/store/kingarthvr_)
13:57:15	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:25%20GMT	http://app.pillar.io/css/chunk-1bff2630.8bfdf550.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-1bff2630.8bfdf550.css	(from https://app.pillar.io/store/kingarthvr_)
13:57:16	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:26%20GMT	http://app.pillar.io/css/chunk-2040c042.94764f78.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-2040c042.94764f78.css	(from https://app.pillar.io/store/kingarthvr_)
13:57:16	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:26%20GMT	http://app.pillar.io/css/chunk-207e09ba.28db6e3b.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-207e09ba.28db6e3b.css	(from https://app.pillar.io/store/kingarthvr_)
13:57:16	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:26%20GMT	http://app.pillar.io/css/chunk-2337681e.b66d7a8d.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-2337681e.b66d7a8d.css	(from https://app.pillar.io/store/kingarthvr_)
13:57:16	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:26%20GMT	http://app.pillar.io/css/chunk-23edd806.7360179b.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-23edd806.7360179b.css	(from https://app.pillar.io/store/kingarthvr_)
13:57:16	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:26%20GMT	http://app.pillar.io/css/chunk-26dbed98.692dc892.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-26dbed98.692dc892.css	(from https://app.pillar.io/store/kingarthvr_)
13:57:17	183/183	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2004%20Apr%202022%2011:56:27%20GMT	http://app.pillar.io/css/chunk-276559e8.d01641fb.css	C:/My%20Web%20Sites/pillar/app.pillar.io/css/chunk-276559e8.d01641fb.css	(from https://app.pillar.io/store/kingarthvr_)
